S GENESEE ST & 50TH AVE S
PRESTON FALL CITY RD & SE 47TH ST
NE 27TH ST & ABERDEEN AVE NE
BROADWAY & TERRACE ST
NE 116TH ST & 114TH DR NE
S GENESEE ST & 37TH AVE S
FAIRVIEW AVE N & MINOR AVE N
UNION ST & 6TH AVE
3RD ST & 5TH AVE
4TH AVE S & S JACKSON ST
NE 8TH ST & 118TH AVE NE
SEWARD PK AVE S & LKSHORE DR S
NE 4TH ST & ROSARIO AVE NE
WATERS AVE S & S CARVER ST
126TH AVE SE & SE 164TH ST
WEST VALLEY HWY & S LONGACRES WAY
161ST AVE SE & SE 176TH PL
MILITARY RD S & S 264TH ST
N 40TH ST & CORLISS AVE N
SE 168TH ST & 122ND AVE SE
SAND PT WAY NE & NE 120TH ST
86TH AVE SE & SE 45TH ST
PINE ST & 2ND AVE
156TH AVE NE & NE 1ST ST
N 43RD ST & FREMONT AVE N
BEACON AVE S & S ORCAS ST
S 272ND ST & S STAR LK RD
NE 80TH ST & 20TH AVE NE
NW 85TH ST & 12TH AVE NW
NE 132ND ST & 84TH AVE NE
MARTIN L KING JR WAY & S THISTLE ST
RAINIER AVE S & ML KING JR WAY WAY S
ANDOVER PARK W & MINKLER BLVD
NE 4TH ST & 105TH AVE NE
MERIDIAN AVE N & N 193RD ST
NE 70TH ST & 126TH AVE NE
140TH AVE NE & NE 40TH ST
PARK AVE N & N 2ND ST
NE 112TH ST & 120TH AVE NE
UNIVERSITY WAY NE & NE 50TH ST
24TH AVE E & E NEWTON ST
15TH AVE NE & NE 95TH ST
WEST VALLEY HWY & 37TH ST NW
WEST LK SAMMAMISH PK & 192ND AVE SE
8TH AVE NW & NW 60TH ST
S 2ND ST & SHATTUCK AVE S
BLANCHARD ST & 4TH AVE
AVONDALE RD NE & NE UNION HILL RD
E VALLEY HWY & S 180TH ST
SE 36TH ST & 14000 BLOCK
24TH AVE NW & NW 83RD ST
GREENWOOD AVE N & N 76TH ST
CENTRAL AVE S & E RUSSELL ST
PACIFIC HWY S & 23600 BLOCK
23RD AVE E & E THOMAS ST
SE 14TH ST & 168TH AVE SE
SE 8TH ST & 114TH AVE SE
NW NEPTUNE PL & 24TH AVE NW
E OLIVE WAY & BROADWAY
SW ROXBURY ST & 16TH AVE SW
JAMES ST & 3RD AVE
SE FALL CITY-SNOQUAL & 356TH DR SE
140TH AVE NE & NE 34TH PL
23RD AVE & E SPRING ST
JUANITA WOODINVIL WA & 108TH AVE NE
W VALLEY HWY N & 29TH ST NW
32ND AVE NW & NW 59TH ST
NE 40TH ST & 150TH AVE NE
119TH AVE SE & SE 52ND ST
S 212TH ST & 42ND AVE S
236TH ST SW & 52ND AVE W
QUEEN ANNE AVE N & W HIGHLAND DR
WALLINGFORD AVE N & N 82ND ST
15TH AVE NE & NE 127TH ST
RAINIER AVE S & 52ND AVE S
LK CITY WAY NE & NE 85TH ST
YESLER WAY & 3RD AVE
MARKET ST & 2ND ST W
73RD AVE NE & NE 181ST ST
SE FALL CITY-SNOQUAL & SE 47TH PL
SE 38TH ST & 166TH AVE SE
NE 12TH ST & 84TH AVE NE
NE 135TH ST & 20TH AVE NE
MERIDIAN AVE N & N 185TH ST
BEARDSLEE BLVD & SUNRISE DR
9TH AVE S & S 344TH ST
GREENWOOD AVE N & N 137TH ST
SR 515 & S GRADY WY
DES MOINES MEMORI DR & S 103RD ST
E MADISON ST & 28TH AVE E
164TH AVE NE & NE 4TH ST
SEWARD PK AVE S & S HAWTHORNE RD
124TH AVE SE & SE 282ND ST
51ST AVE S & S 166TH ST
22ND AVE W & W BERTONA ST
MONROE AVE NE & NE 7TH PL
E JEFFERSON ST & 20TH AVE
5TH AVE S & S JACKSON ST
S 272ND ST & 36TH AVE S
NE 4TH ST & EDMONDS AVE NE
68TH AVE S & S 122ND ST
8TH AVE SW & SW 106TH ST
LKVIEW BLVD E & BELMONT AVE E
NE 65TH ST & NE RAVENNA BLVD
Campus AcRd & Campus Way NE
RAILROAD AV SE AVE S & SE NORTHERN ST
NE 55TH ST & 35TH AVE NE
39TH AVE S & 38TH PL S
RAVENNA AVE NE & 25TH AVE NE
E MADISON ST & 34TH AVE E
NE 185TH ST & 160TH AVE NE
SE FAIRWOOD BLVD & 148TH AVE SE
8TH AVE NW & NW 61ST ST
NE 8TH ST & 167TH AVE NE
S 288TH ST & 25TH PL S
126TH AVE SE & SE 161ST ST
160TH AVE NE & NE 85TH ST
JAMES ST & 8TH AVE
SLATER AVE NE & NE 118TH ST
SE 40TH ST & 81ST AVE SE
116TH AVE NE & NE 94TH ST
DELRIDGE WAY SW & SW JUNEAU ST
SE 272ND ST & 169TH PL SE
S LEO ST & BEACON AVE S
BALLINGER WAY NE & 19TH AVE NE
6TH AVE & MARION ST
34TH AVE W & W BARRETT ST
MARINE VIEW DR SW & SW 110TH ST
N 145TH ST & AURORA AVE N
TERRY AVE & SPRUCE ST
WEST LK SAMMAMISH PK & SE 26TH ST
84TH AVE SE & SE 26TH ST
NE 4TH ST & 114TH AVE NE
16TH AVE S & S 243RD ST
NE 116TH ST & 113TH PL NE
AURORA AVE N & N 85TH ST
55TH AVE NE & NE 44TH ST
172ND AVE NE & NE 111TH ST
S 288TH ST & 34TH AVE S
BELLEVUE WAY NE & NE 15TH ST
62ND AVE S & S PRENTICE ST
ANDOVER PARK W & CORPORATE DR N
SE PETROVITSKY RD & 143RD AVE SE
4TH AVE S & 3800 BLOCK
145TH PL SE & SE 10TH ST
SW 356TH ST & 13TH WAY SW
WESTLAKE AVE N & CROCKETT ST
MILITARY RD S & S 121ST PL
119TH AVE SE & LAKE HGTS ST
HIGHLAND PK WAY SW & 7000 BLOCK
LK CITY WAY NE & NE 110TH ST
SW 152ND ST & 9TH AVE SW
68TH AVE S & S 216TH ST
I-405 & N 30TH ST
AVONDALE RD NE & NE 173RD ST
TAYLOR AVE N & GALER ST
87TH AVE S & S 118TH ST
NE 85TH ST & 39TH AVE NE
HIGHLAND PK WAY SW & SW KENYON ST
GILMAN AVE W & 27TH AVE W
PHINNEY AVE N & N 65TH ST
Coal Creek Pkwy SE & I-405 Exp Ramp
S PUGET DR & BENSON RD S
RAINIER AVE S & SW VICTORIA ST
BROOKLYN AVE NE & NE 50TH ST
Bellevue TC AcRd & 110th Ave NE
N 43RD ST & PHINNEY AVE N
BEACON AVE S & S SPENCER ST
104TH AVE SE & SE 244TH ST
SE 36TH ST & 150TH AVE SE
NE 132ND ST & 100TH AVE NE
SW DAWSON ST & 18TH AVE SW
SW 320TH ST & 26TH AVE SW
NE 65TH ST & PRINCETON AVE NE
LK YOUNGS WAY SE & LK YOUNGS CT SE
NE 20TH ST & 130TH AVE NE
SAND PT WAY NE & IVANHOE PL NE
FACTORIA BLVD SE & SE 41ST LN
74TH AVE S & S 116TH ST
DUVALL AVE NE & NE SUNSET BLVD
87TH AVE S & S 117TH ST
SE EASTGATE WAY & RICHARDS RD
WEST LK SAMMAMISH PK & LAKEMONT BLVD SE
FAIRVIEW AVE E & YALE AVE N
EAST MARGINAL WAY S & S ALASKA ST
TIMBERLANE WAY SE & SE 267TH ST
NE 41ST ST & 50TH AVE NE
SE 8TH ST & 121ST AVE SE
SE 240TH ST & 111TH PL SE
S MAIN ST & 3RD AVE S
NE CAMPUS PKWY & UNIVERSITY WAY NE
NE 143RD ST & 128TH AVE NE
164TH AVE SE & MAIN ST
5TH AVE NE & NE 90TH ST
BROADWAY & E PINE ST
OLSON PL SW & 3RD AVE SW
UNION AVE NE & NE 11TH ST
BELLEVUE WAY NE & NE 24TH ST
104TH AVE SE & SE 22ND ST
NE 132ND ST & 109TH AVE NE
35TH AVE NE & NE 93RD ST
NE 45TH ST & 49TH AVE NE
AUBURN AVE & 2ND ST NE
SW MORGAN ST & 36TH AVE SW
LK CITY WAY NE & NE 113TH ST
1ST AVE S & SW 202ND ST
NE 40TH ST & 163RD AVE NE
NE 55TH ST & 30TH AVE NE
15TH AVE NE & NE CAMPUS PKWY
ANDOVER PARK E & STRANDER BLVD
SW CHARLESTOWN ST & 53RD AVE SW
124TH AVE SE & SE 280TH ST
15TH AVE NE & NE 42ND ST
22ND AVE W & W RUFFNER ST
S OTHELLO ST & MARTIN L KING JR WAY
E YESLER WAY & 27TH AVE
TRITON DR NW & NW GOLDEN DR
DES MOINES MEMORI DR & S 165TH ST
UNION AVE NE & NE 10TH ST
MERCER ST & QUEEN ANNE AVE N
10TH AVE E & E PROSPECT ST
87TH AVE S & S 120TH ST
NE 65TH ST & 16TH AVE NE
SE 176TH ST & 113TH PL SE
