,"Percentage Early, On Time, and Late, Oct 2012 - May 2013 by Route and Day",,,,,,,,,,
,,,,,,,,,,,
,Days,Rte,E/L,% Late,% Early,%OnTime,,,,,
159L,M-F,159,L,15%,3%,82%,,,,,
161L,M-F,161,L,14%,1%,86%,,,,,
164L,M-F,164,L,18%,1%,81%,,,,,
166L,M-F,166,L,21%,9%,70%,,,,,
167L,M-F,167,L,11%,5%,85%,,,,,
168L,M-F,168,L,12%,7%,81%,,,,,
169L,M-F,169,L,22%,5%,73%,,,,,
173L,M-F,173,L,20%,1%,79%,,,,,
177L,M-F,177,L,22%,6%,73%,,,,,
178L,M-F,178,L,38%,1%,62%,,,,,
179L,M-F,179,L,26%,0%,74%,,,,,
180L,M-F,180,L,17%,8%,74%,,,,,
181L,M-F,181,L,24%,3%,73%,,,,,
182L,M-F,182,L,13%,1%,86%,,,,,
183L,M-F,183,L,8%,8%,84%,,,,,
186L,M-F,186,L,15%,4%,80%,,,,,
187L,M-F,187,L,17%,2%,81%,,,,,
190L,M-F,190,L,23%,1%,76%,,,,,
192L,M-F,192,L,16%,2%,82%,,,,,
193E,M-F,193,E,17%,4%,78%,,,,,
197L,M-F,197,L,14%,1%,85%,,,,,
200L,M-F,200,L,5%,2%,93%,,,,,
201L,M-F,201,L,6%,0%,93%,,,,,
202L,M-F,202,L,26%,1%,73%,,,,,
203L,M-F,203,L,8%,1%,91%,,,,,
204L,M-F,204,L,15%,3%,82%,,,,,
205E,M-F,205,E,19%,2%,79%,,,,,
209L,M-F,209,L,19%,1%,80%,,,,,
210L,M-F,210,L,20%,0%,80%,,,,,
211E,M-F,211,E,15%,2%,83%,,,,,
212L,M-F,212,L,13%,0%,87%,,,,,
213L,M-F,213,L,5%,1%,94%,,,,,
214L,M-F,214,L,13%,0%,87%,,,,,
215L,M-F,215,L,14%,0%,86%,,,,,
216L,M-F,216,L,18%,0%,82%,,,,,
217L,M-F,217,L,13%,3%,84%,,,,,
218L,M-F,218,L,13%,0%,87%,,,,,
221L,M-F,221,L,23%,4%,73%,,,,,
224L,M-F,224,L,39%,3%,58%,,,,,
226L,M-F,226,L,19%,5%,76%,,,,,
232L,M-F,232,L,21%,1%,78%,,,,,
234L,M-F,234,L,12%,4%,84%,,,,,
235L,M-F,235,L,10%,3%,87%,,,,,
236L,M-F,236,L,7%,7%,86%,,,,,
237L,M-F,237,L,30%,2%,68%,,,,,
238L,M-F,238,L,18%,6%,77%,,,,,
240L,M-F,240,L,15%,5%,80%,,,,,
241L,M-F,241,L,19%,2%,79%,,,,,
