Route,Part,Express/ Local,Inbound / Outbound,KeyBl,StTime,EndTime,Start of Route,End of Route,Load Factor,Average Load,Riders Per Revenue Hour,Revenue Miles,Revenue Hours,Seats on Bus,Bus Type,Day,Peak or Off Peak,1-Factor Fully Allocated Cost,Redundancy,,,,,,,OBJECTID ,District,Count_Stops,,,,,,,,,
,,,,,,,,,,,,# of Miles a bus is running in service,# of Hours a bus is running in service,,See Fleet Tab,,,,,,,,,,,1,Adams,33,Route #,Redundancy,,,,,,,
1,,,I,102, 5:40 AM, 5:54 AM,10W FLTN,3   CDAR,0.36,15,64,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,2,Alki,66,1,2,,,,,,,
1,,,I,101, 6:10 AM, 6:24 AM,10W FLTN,3   CDAR,0.52,22,103,2.799432,0.23,42,41,WK,P,142.92,2,,,,,,,3,Arbor Heights,28,2,2,,,,,,,
1,,,I,103, 6:40 AM, 6:54 AM,10W FLTN,3   CDAR,0.62,26,120,2.799432,0.23,42,41,WK,P,142.92,2,,,,,,,4,Atlantic,52,3,9,,,,,,,
1,,,I,105, 7:00 AM, 7:15 AM,10W FLTN,3   CDAR,0.88,37,160,2.799432,0.25,42,41,WK,P,142.92,2,,,,,,,5,Belltown,95,4,9,,,,,,,
1,,,I,104, 7:15 AM, 7:30 AM,10W FLTN,3   CDAR,0.71,30,120,2.799432,0.25,42,41,WK,P,142.92,2,,,,,,,6,Bitter Lake,32,5,2,,,,,,,
1,,,I,106, 7:30 AM, 7:46 AM,10W FLTN,3   CDAR,0.88,37,150,2.799432,0.27,42,41,WK,P,142.92,2,,,,,,,7,Briarcliff,29,6,2,,,,,,,
1,,,I,102, 7:45 AM, 8:17 AM,10W FLTN,5S  JAXN,0.74,31,69,4.46572,0.53,42,41,WK,P,142.92,2,,,,,,,8,Brighton,27,8,2,,,,,,,
1,,,I,107, 8:01 AM, 8:17 AM,10W FLTN,3   CDAR,1.07,45,184,2.799432,0.27,42,41,WK,P,142.92,2,,,,,,,9,Broadview,35,9,2,,,,,,,
1,,,I,108, 8:24 AM, 8:40 AM,10W FLTN,3   CDAR,1,42,161,2.799432,0.27,42,41,WK,P,142.92,2,,,,,,,10,Broadway,75,10,1,,Bus Type,Length,Fuel,Fleet #,Floor,1-Factor Fully Allocated Cost
1,,,I,101, 8:33 AM, 9:05 AM,10W FLTN,5S  JAXN,0.71,30,49,4.46572,0.53,42,41,WK,P,142.92,2,,,,,,,11,Bryant,27,11,1,,19 - 27FT PRESIDENT VAN LF ,27,,19,LF,140.33
1,,,I,109, 8:43 AM, 9:15 AM,10W FLTN,5S  JAXN,0.55,23,62,4.46572,0.53,42,41,WK,O,142.92,2,,,,,,,12,Cedar Park,19,12,0,,11 - 30FT GILLIG HF,30,D,11,HF,130.61
1,,,I,103, 9:00 AM, 9:14 AM,10W FLTN,3   CDAR,0.43,18,99,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,13,Central Business District,83,13,2,,31 - 35FT GILLIG HF ,35,D,31,HF,130.61
1,,,I,104, 9:16 AM, 9:46 AM,10W FLTN,5S  JAXN,0.48,20,56,4.46572,0.5,42,41,WK,O,142.92,2,,,,,,,14,Columbia City,45,14,2,,33 - 35FT GILLIG HF ,35,D,33,HF,130.61
1,,,I,105, 9:33 AM, 9:47 AM,10W FLTN,3   CDAR,0.57,24,129,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,15,Crown Hill,26,15,9,,32 - 40FT GILLIG HF ,40,D,32,HF,134.05
1,,,I,106,10:03 AM,10:17 AM,10W FLTN,3   CDAR,0.55,23,103,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,16,Dunlap,33,16,2,,36 - 40FT NEW FLYER LF ,40,D,36,LF,134.05
